Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client  37,0.028,0.039,0.00,0.00,0.001,0.088,0.017,0.325,0.109,0.395,727
Client  38,0.339,0.028,0.140,0.073,0.220,0.016,0.024,0.004,0.018,0.136,492
Client  39,0.123,0.015,0.241,0.015,0.239,0.070,0.035,0.114,0.048,0.099,456
Client  40,0.298,0.051,0.224,0.095,0.006,0.021,0.230,0.004,0.039,0.031,486
Client  41,0.082,0.105,0.197,0.167,0.115,0.020,0.072,0.023,0.095,0.125,305
Client  42,0.00,0.225,0.007,0.188,0.134,0.044,0.00,0.020,0.108,0.274,409
Client  43,0.652,0.049,0.007,0.052,0.025,0.216,0.00,0.00,0.00,0.00,597
Client  44,0.182,0.016,0.004,0.057,0.002,0.121,0.200,0.259,0.132,0.028,506
Client  45,0.012,0.105,0.063,0.052,0.054,0.188,0.014,0.062,0.450,0.00,504
Client  46,0.012,0.147,0.033,0.285,0.036,0.168,0.145,0.017,0.156,0.00,578
Client  47,0.153,0.031,0.133,0.120,0.002,0.002,0.129,0.153,0.061,0.216,510
Client  48,0.064,0.045,0.027,0.006,0.486,0.047,0.115,0.066,0.134,0.010,486
Client  49,0.012,0.036,0.101,0.053,0.022,0.041,0.125,0.002,0.108,0.499,415
Client  50,0.100,0.129,0.006,0.069,0.001,0.020,0.140,0.130,0.090,0.316,713
Client  51,0.141,0.122,0.103,0.006,0.091,0.038,0.024,0.051,0.004,0.421,837
Client  52,0.153,0.098,0.066,0.178,0.052,0.063,0.178,0.035,0.164,0.014,287
Client  53,0.003,0.652,0.080,0.067,0.042,0.010,0.032,0.038,0.077,0.00,313
Client  54,0.002,0.003,0.087,0.015,0.003,0.134,0.010,0.337,0.033,0.376,599
Client  55,0.039,0.046,0.013,0.002,0.113,0.145,0.046,0.201,0.018,0.378,613
Client  56,0.037,0.035,0.039,0.041,0.136,0.186,0.182,0.206,0.138,0.00,538
Client  57,0.007,0.099,0.206,0.021,0.007,0.305,0.092,0.149,0.007,0.106,141
Client  58,0.006,0.504,0.035,0.035,0.144,0.044,0.233,0.00,0.00,0.00,520
Client  59,0.024,0.013,0.222,0.057,0.039,0.335,0.013,0.009,0.024,0.266,636
Client  60,0.103,0.138,0.085,0.040,0.018,0.045,0.073,0.185,0.311,0.003,399
Client  61,0.028,0.078,0.002,0.219,0.147,0.526,0.00,0.00,0.00,0.00,529
Client  62,0.105,0.080,0.459,0.237,0.119,0.00,0.00,0.00,0.00,0.00,523
Client  63,0.048,0.035,0.078,0.019,0.073,0.032,0.089,0.078,0.328,0.220,372
Client  64,0.052,0.300,0.096,0.123,0.023,0.025,0.052,0.020,0.020,0.289,554
Client  65,0.475,0.059,0.195,0.061,0.050,0.036,0.002,0.013,0.048,0.059,522
Client  66,0.113,0.048,0.030,0.124,0.201,0.120,0.173,0.191,0.00,0.00,566
Client  67,0.00,0.027,0.018,0.007,0.056,0.018,0.109,0.304,0.218,0.244,450
Client  68,0.072,0.061,0.190,0.053,0.042,0.247,0.160,0.008,0.076,0.091,263
Client  69,0.073,0.056,0.019,0.088,0.002,0.278,0.253,0.232,0.00,0.00,522
Client  70,0.039,0.002,0.081,0.056,0.183,0.201,0.035,0.016,0.352,0.035,432
Client  71,0.118,0.091,0.251,0.077,0.171,0.025,0.146,0.009,0.066,0.046,439
Client  72,0.056,0.045,0.006,0.052,0.123,0.006,0.325,0.032,0.357,0.00,538
Client  73,0.121,0.071,0.238,0.126,0.130,0.017,0.032,0.007,0.126,0.132,538
Client  74,0.029,0.208,0.539,0.002,0.148,0.074,0.00,0.00,0.00,0.00,514
Client  75,0.123,0.149,0.029,0.245,0.131,0.065,0.258,0.00,0.00,0.00,658
Client  76,0.061,0.052,0.267,0.105,0.072,0.002,0.208,0.078,0.004,0.152,554
Client  77,0.067,0.057,0.038,0.106,0.294,0.439,0.00,0.00,0.00,0.00,718
Client  78,0.162,0.004,0.018,0.232,0.129,0.197,0.099,0.035,0.007,0.118,544
Client  79,0.014,0.028,0.031,0.083,0.095,0.043,0.188,0.104,0.416,0.00,800
Client  80,0.285,0.063,0.106,0.449,0.020,0.077,0.00,0.00,0.00,0.00,508
Client  81,0.008,0.018,0.025,0.163,0.017,0.049,0.004,0.053,0.664,0.00,836
Client  82,0.154,0.004,0.006,0.121,0.049,0.117,0.025,0.355,0.092,0.076,512
Client  83,0.003,0.156,0.038,0.010,0.272,0.016,0.170,0.336,0.00,0.00,578
Client  84,0.023,0.060,0.062,0.057,0.082,0.119,0.003,0.324,0.094,0.176,352
Client  85,0.187,0.009,0.002,0.204,0.157,0.00,0.038,0.345,0.00,0.057,470
Client  86,0.016,0.00,0.140,0.091,0.300,0.004,0.095,0.148,0.111,0.095,243
Client  87,0.094,0.297,0.209,0.207,0.033,0.159,0.00,0.00,0.00,0.00,511
Client  88,0.059,0.136,0.154,0.043,0.168,0.007,0.116,0.200,0.088,0.029,441
Client  89,0.059,0.147,0.024,0.015,0.139,0.069,0.006,0.132,0.277,0.132,538
Client  90,0.021,0.556,0.004,0.010,0.070,0.105,0.002,0.010,0.019,0.204,486
Client  91,0.163,0.023,0.068,0.037,0.325,0.384,0.00,0.00,0.00,0.00,570
Client  92,0.180,0.011,0.042,0.004,0.004,0.077,0.368,0.137,0.082,0.097,549
Client  93,0.184,0.109,0.196,0.133,0.079,0.024,0.208,0.021,0.033,0.012,331
Client  94,0.096,0.080,0.602,0.222,0.00,0.00,0.00,0.00,0.00,0.00,540
Client  95,0.029,0.323,0.061,0.128,0.044,0.010,0.021,0.025,0.057,0.303,524
Client  96,0.161,0.109,0.132,0.019,0.202,0.102,0.152,0.00,0.123,0.00,521
Client  97,0.049,0.297,0.127,0.183,0.344,0.00,0.00,0.00,0.00,0.00,630
Client  98,0.057,0.097,0.062,0.219,0.072,0.032,0.137,0.170,0.047,0.105,401
Client  99,0.080,0.005,0.007,0.151,0.377,0.197,0.182,0.00,0.00,0.002,578
